"Sex","Age","Year","Principal","Low","High"
"F",-1,2001,317.1616704,317.1616704,317.1616704
"F",0,2001,70.13075757,70.13075757,70.13075757
"F",1,2001,22.46946986,22.46946986,22.46946986
"F",2,2001,14.27163763,14.27163763,14.27163763
"F",3,2001,10.91342159,10.91342159,10.91342159
"F",4,2001,9.369557213,9.369557213,9.369557213
"F",5,2001,8.416331528,8.416331528,8.416331528
"F",6,2001,7.678819171,7.678819171,7.678819171
"F",7,2001,7.151681525,7.151681525,7.151681525
"F",8,2001,6.834082137,6.834082137,6.834082137
"F",9,2001,6.78221967,6.78221967,6.78221967
"F",10,2001,7.049109912,7.049109912,7.049109912
"F",11,2001,7.683026355,7.683026355,7.683026355
"F",12,2001,8.796654709,8.796654709,8.796654709
"F",13,2001,10.34925731,10.34925731,10.34925731
"F",14,2001,12.21188075,12.21188075,12.21188075
"F",15,2001,14.16027555,14.16027555,14.16027555
"F",16,2001,16.04065636,16.04065636,16.04065636
"F",17,2001,17.90059385,17.90059385,17.90059385
"F",18,2001,19.80493022,19.80493022,19.80493022
"F",19,2001,21.4444666,21.4444666,21.4444666
"F",20,2001,22.40739508,22.40739508,22.40739508
"F",21,2001,22.85704164,22.85704164,22.85704164
"F",22,2001,23.14253628,23.14253628,23.14253628
"F",23,2001,23.48102386,23.48102386,23.48102386
"F",24,2001,24.24228817,24.24228817,24.24228817
"F",25,2001,25.65939719,25.65939719,25.65939719
"F",26,2001,27.63505641,27.63505641,27.63505641
"F",27,2001,30.09553222,30.09553222,30.09553222
"F",28,2001,32.9334548,32.9334548,32.9334548
"F",29,2001,36.00911238,36.00911238,36.00911238
"F",30,2001,39.17919055,39.17919055,39.17919055
"F",31,2001,42.43650842,42.43650842,42.43650842
"F",32,2001,45.87986338,45.87986338,45.87986338
"F",33,2001,49.62927812,49.62927812,49.62927812
"F",34,2001,53.83847574,53.83847574,53.83847574
"F",35,2001,58.68240349,58.68240349,58.68240349
"F",36,2001,64.25911755,64.25911755,64.25911755
"F",37,2001,70.50003483,70.50003483,70.50003483
"F",38,2001,77.32015441,77.32015441,77.32015441
"F",39,2001,84.61974908,84.61974908,84.61974908
